sample	basin	creek	year	reads	watershed	subbasin	creek_year	sampnum	long	lat	in_will	will_name	will_ho	will_pi	will_fis	ws_will	ts_will	PVA_Extinction	PVA_Ext_L95	PVA_Ext_U95	PVA_Abundance_50	PVA_Abundance_25	PVA_Abund_Year	in_basin
Y160009TKR	Pyramid_Truckee	Pole	2016	1832805	Tahoe		Pole_2016	1	-120.2453876	39.23273605	YES	Pole	0.000000858	0.000000744	-0.091080739	0.0000281	0.0000247	3.1	2.2	4	852	474	2010	yes
3103-471	Willow_Whitehorse	Willow	2020	3870762	Willow_Whitehorse		Willow_2020	2	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAG_BEA_2009_054	Humboldt/Upper	Beaver	2009	997766	Humboldt	Upper	Beaver_2009	3	-116.2277531	41.09815316	YES	Beaver	0.000000635	0.000000532	-0.131085347	0.0000176	0.000018	1.8	1.2	2.7	7626	4509	2009	yes
MAR_MAE_2016_005	Humboldt/Upper	Marys_East	2016	1052534	Humboldt	Upper	Marys_East_2016	4	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Y200076WKR	Walker	Mill	2020	3203005	Walker		Mill_2020	5	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170102CAR	Carson	Poison_Flat	2017	2137645	Carson		Poison_Flat_2017	6	-119.6450227	38.49490749	YES	Poison Flat	0.000000809	0.000000698	-0.082770633	0.0000287	0.000024	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200097WKR	Walker	By-Day	2020	4108989	Walker		By-Day_2020	7	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
MAR_TCR_2002_009	Humboldt/Upper	T	2002	750327	Humboldt	Upper	T_2002	8	-115.3040545	41.63598922	YES	T	0.000000682	0.000000588	-0.117693616	0.0000191	0.000019	0.1	0.1	0.2	4029	1960	2002	yes
NFH_GAN_2017_012	Humboldt/NF	Gance	2017	1074474	Humboldt	North_Fork	Gance_2017	9	-115.9682753	41.30762374	YES	Gance	0.000000756	0.000000657	-0.087485587	0.0000209	0.0000223	2.6	2.1	3.5	2791	1428	2007	yes
LHU_INC_2000_121	Humboldt/Little	Indian	2000	225403	Humboldt	Little	Indian_2000	10	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
Y160036CAR	Independence	Heenan_Lake	2010	863433	Tahoe		Heenan_Lake_2010	11	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200014WKR	Walker	Slinkard	2020	1751805	Walker		Slinkard_2020	12	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200024WKR	Walker	Slinkard	2020	1661938	Walker		Slinkard_2020	13	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-592	Willow_Whitehorse	Little_Whitehorse	2020	2074583	Willow_Whitehorse		Little_Whitehorse_2020	14	-118.19612	42.21036999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAG_COY_2015_002	Humboldt/Upper	Coyote	2015	843846	Humboldt	Upper	Coyote_2015	15	-116.2598378	41.04644266	YES	Coyote	0.00000079	0.000000692	-0.100411934	0.0000224	0.0000217	3.4	2.6	3.9	2028	1318	2009	yes
REE_CRA_2009_143	Reese	Crane_Canyon	2009	2368001	Quinn_Reese		Crane_Canyon_2009	16	-117.3302138	38.96132666	YES	Crane Canyon	0.000000277	0.000000188	-0.159286771	0.00000951	0.00000688	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
22tj106	Humboldt/Rock	Toe_Jam	2022	405074	Humboldt	Rock	Toe_Jam_2022	17	-116.453289	41.322646	YES	Toe Jam	0.00000065	0.000000554	-0.100173364	0.0000174	0.0000184	5.1	3.5	6.1	1295	685	2017	yes
3103-829	Willow_Whitehorse	Whitehorse	2020	1122587	Willow_Whitehorse		Whitehorse_2020	18	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
LittleAlv9	Alvord_Lake_OOB	Little_Alvord	2021	303769	Willow_Whitehorse		Little_Alvord_2021	19	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
MAG_BEA_2015_087	Humboldt/Upper	Beaver	2015	366962	Humboldt	Upper	Beaver_2015	20	-116.2277531	41.09815316	YES	Beaver	0.000000635	0.000000532	-0.131085347	0.0000176	0.000018	1.8	1.2	2.7	7626	4509	2009	yes
SFL_TRB_2010_105	Humboldt/Little	SF_Little_Humboldt_tributary	2010	3607208	Humboldt	Little	SF_Little_Humboldt_tributary_2010	21	#N/A	#N/A	YES	SFLH Tributaries	0.000000719	0.000000598	-0.089750451	0.0000228	0.0000203	7.5	5.5	9.5	10033	5153	2010	yes
TRU_POL_2016_024	Pyramid_Truckee	Pole	2016	2080173	Tahoe		Pole_2016	22	-120.2453876	39.23273605	YES	Pole	0.000000858	0.000000744	-0.091080739	0.0000281	0.0000247	3.1	2.2	4	852	474	2010	yes
Y200141WKR	Walker	Silver	2020	1901106	Walker		Silver_2020	23	-119.5749218	38.38654264	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
BDSK_006	Walker	By-Day	2015	4680648	Walker		By-Day_2015	24	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
22fr106	Humboldt/Rock	Frazer	2022	512586	Humboldt	Rock	Frazer_2022	25	-116.7432811	41.29430774	YES	Frazier	0.000000743	0.000000608	-0.126518894	0.0000191	0.0000197	24.2	20.9	26.8	213	74	2015	yes
22LC040	Quinn	Line	2022	444590	Quinn_Reese		Line_2022	26	-118.152814	41.984641	YES	Line Canyon	0.00000055	0.000000454	-0.165986175	0.0000137	0.0000154	21.1	20.4	23.4	988	76	2000	yes
WWH_WIL_1996_038	Willow_Whitehorse	Willow	1996	418039	Willow_Whitehorse		Willow_1996	27	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
BYDY_010	Walker	By-Day	2015	1633317	Walker		By-Day_2015	28	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
Y200053WKR	Walker	Wolf	2020	1397189	Walker		Wolf_2020	29	-119.5910264	38.35848746	YES	Upper Wolf & Lower Wolf	0.00000175	0.00000143	-0.217860379	0.0000414	0.0000436	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
REE_MHK_2000_005	Reese	Mohawk	2000	431347	Quinn_Reese		Mohawk_2000	30	-117.32925	38.98392922	YES	Mohawk	0.00000036	0.000000284	-0.107180282	0.0000126	0.0000097	0.2	0	0.4	1553	1024	2000	yes
3103-968	Willow_Whitehorse	Whitehorse	2020	2767265	Willow_Whitehorse		Whitehorse_2020	31	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
QUI_WAC_1997_012	Quinn	Washburn	1997	1030635	Quinn_Reese		Washburn_1997	32	-118.0489225	41.86464695	YES	Washburn	0.000000581	0.000000505	-0.061799336	0.0000241	0.0000177	14.8	12.8	15.9	843	157	1997	yes
Y160013IPL	Independence	Independence_Lake	2016	1734890	Tahoe		Independence_Lake_2016	33	-120.3139892	39.43806288	YES	Independence Lake	0.000000754	0.000000669	-0.093482186	0.0000218	0.0000224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y160013CAR	Independence	Heenan_Lake	2010	1276873	Tahoe		Heenan_Lake_2010	34	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-627	Willow_Whitehorse	Willow	2020	7644229	Willow_Whitehorse		Willow_2020	35	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
ROC_FRZ_1997_010	Humboldt/Rock	Frazer	1997	142481	Humboldt	Rock	Frazer_1997	36	-116.7432811	41.29430774	YES	Frazier	0.000000743	0.000000608	-0.126518894	0.0000191	0.0000197	24.2	20.9	26.8	213	74	2015	yes
21AB20	Humboldt/Little	Abel	2021	2830307	Humboldt	Little	Abel_2021	37	-117.66839	41.4484497	YES	Abel	0.000000652	0.000000551	-0.077929215	0.000028	0.000019	7	5.6	8.3	112	35	2012	yes
EFH_NFC_2012_014	Humboldt/Upper	NF_Cold	2012	905760	Humboldt	Upper	NF_Cold_2012	38	-115.321001	40.73715106	YES	North Fork Cold	0.000000481	0.000000393	-0.111508538	0.0000137	0.0000127	13.6	12.1	15.1	1002	522	2012	yes
Cotton16	Alvord_Lake_OOB	Cottonwood_AVL	2021	454240	Willow_Whitehorse		Cottonwood_AVL_2021	39	#N/A	#N/A	YES	Cottonwood	0.0000003	0.00000022	-0.134278393	0.0000106	0.00000758	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
QUI_CMC_2016_011	Quinn	Colman	2016	902530	Quinn_Reese		Colman_2016	40	-119.0331595	41.46502882	YES	Colman	0.000000599	0.000000488	-0.131628025	0.0000181	0.0000163	5.6	5.1	7.6	1144	521	2008	yes
Y200075WKR	Walker	Mill	2020	2954354	Walker		Mill_2020	41	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Mosq25	Alvord_Lake_OOB	Mosquito	2021	338346	Willow_Whitehorse		Mosquito_2021	42	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
DV12	Pyramid_Truckee	Dog_Valley	2018	1753115	Tahoe		Dog_Valley_2018	43	-120.044392	39.560763	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200041WKR	Walker	Wolf	2020	2476526	Walker		Wolf_2020	44	-119.5910264	38.35848746	YES	Upper Wolf & Lower Wolf	0.00000175	0.00000143	-0.217860379	0.0000414	0.0000436	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y180004	Kings_R_OOB	WF_Cow	2018	1544505	Tahoe		WF_Cow_2018	45	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
Y160074CAR	Independence	Heenan_Lake	2010	2871124	Tahoe		Heenan_Lake_2010	46	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170041CAR	Carson	EF_Carson_Golden_Canyon	2017	2355232	Carson		EF_Carson_Golden_Canyon_2017	47	-119.82462	38.99074	YES	East Fork Carson & Golden Canyon	0.000000724	0.000000577	-0.1531849	0.0000174	0.0000192	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200146WKR	Walker	Silver	2020	3493966	Walker		Silver_2020	48	-119.5749218	38.38654264	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200115WKR	Walker	By-Day	2020	4175159	Walker		By-Day_2020	49	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
REE_TNY_2001_017	Reese	Tierney	2001	2096259	Quinn_Reese		Tierney_2001	50	-117.2814176	39.04073194	YES	Tierney	0.000000684	0.000000618	-0.075703121	0.0000208	0.0000195	72.5	71.1	74.1	436	199	2001	yes
07-AB22-004	Humboldt/Little	Abel	2022	396438	Humboldt	Little	Abel_2022	51	-117.66839	41.4484497	YES	Abel	0.000000652	0.000000551	-0.077929215	0.000028	0.000019	7	5.6	8.3	112	35	2012	yes
21AB19	Humboldt/Little	Abel	2021	7854699	Humboldt	Little	Abel_2021	52	-117.66839	41.4484497	YES	Abel	0.000000652	0.000000551	-0.077929215	0.000028	0.000019	7	5.6	8.3	112	35	2012	yes
Y200072WKR	Walker	Mill	2020	8110593	Walker		Mill_2020	53	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-785	Willow_Whitehorse	Little_Whitehorse	2020	554208	Willow_Whitehorse		Little_Whitehorse_2020	54	-118.19612	42.21036999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAR_WIC_2000_095	Humboldt/Upper	Wildcat	2000	558705	Humboldt	Upper	Wildcat_2000	55	-115.2425249	41.62573785	YES	Wildcat	0.000000696	0.000000596	-0.114832792	0.0000172	0.0000192	42.7	40.8	44.6	1130	674	2000	yes
3103-511	Willow_Whitehorse	Willow	2020	4178484	Willow_Whitehorse		Willow_2020	56	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170016TKR	Tahoe	Up_Truckee	2017	1873676	Tahoe		Up_Truckee_2017	57	-120.029072	38.863631	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-929	Willow_Whitehorse	Whitehorse	2020	443697	Willow_Whitehorse		Whitehorse_2020	58	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
QUI_BAT_2013_121	Quinn	Battle	2013	2872752	Quinn_Reese		Battle_2013	59	-118.9386342	41.42705694	YES	North Fork Battle	0.00000067	0.000000631	-0.04904791	0.0000244	0.0000219	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
SLNK_027	Walker	Slinkard	2015	683018	Walker		Slinkard_2015	60	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAR_MRB_2016_007	Humboldt/Upper	Marys_Basin	2016	684584	Humboldt	Upper	Marys_Basin_2016	61	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
QUI_LON_2011_220	Humboldt/Little	Long_Canyon	2011	1090903	Humboldt	Little	Long_Canyon_2011	62	-117.4625913	41.8307616	YES	Long Canyon	0.000000945	0.00000114	0.120982281	0.000049	0.0000411	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAR_HAN_2012_006	Humboldt/Upper	Hanks	2012	1027546	Humboldt	Upper	Hanks_2012	63	-115.3640308	41.3663713	YES	Hanks	0.000000861	0.000000717	-0.1209737	0.0000243	0.000024	76.9	75.2	78.6	7	0	2006	yes
Y160008CAR	Independence	Heenan_Lake	2010	1065143	Tahoe		Heenan_Lake_2010	64	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
YUB_MAC_2016_079	Yuba_R_OOB	Macklin	2016	422166	Tahoe		Macklin_2016	65	#N/A	#N/A	YES	Macklin	0.000000765	0.000000649	-0.099742321	0.0000213	0.0000227	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
Y160017CAR	Independence	Heenan_Lake	2010	1101331	Tahoe		Heenan_Lake_2010	66	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200069WKR	Walker	Mill	2020	1090966	Walker		Mill_2020	67	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
WAL_MIL_2017_007	Walker	Mill	2017	5727110	Walker		Mill_2017	68	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAG_BEA_2009_063	Humboldt/Upper	Beaver	2009	3084593	Humboldt	Upper	Beaver_2009	69	-116.2277531	41.09815316	YES	Beaver	0.000000635	0.000000532	-0.131085347	0.0000176	0.000018	1.8	1.2	2.7	7626	4509	2009	yes
Y160050CAR	Independence	Heenan_Lake	2010	1184395	Tahoe		Heenan_Lake_2010	70	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170067MOK	NF_Mokelumne_R_OOB	NF_Milk_Ranch	2017	2316291	Carson		NF_Milk_Ranch_2017	71	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
22IN010	Humboldt/Little	Indian	2022	579768	Humboldt	Little	Indian_2022	72	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
ROC_ROC_2009_009	Humboldt/Rock	Rock	2009	1370746	Humboldt	Rock	Rock_2009	73	-116.4271066	41.36591453	YES	Rock	0.000000664	0.000000591	-0.066621372	0.0000209	0.0000205	8.8	7.6	10.4	508	284	2009	yes
Y160039CAR	Independence	Heenan_Lake	2010	7760238	Tahoe		Heenan_Lake_2010	74	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y160037CAR	Independence	Heenan_Lake	2010	2154900	Tahoe		Heenan_Lake_2010	75	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MCD_LIN_2000_101	Quinn	Line	2000	1718645	Quinn_Reese		Line_2000	76	-118.152814	41.984641	YES	Line Canyon	0.00000055	0.000000454	-0.165986175	0.0000137	0.0000154	21.1	20.4	23.4	988	76	2000	yes
3103-877	Willow_Whitehorse	Cottonwood_WWH	2020	4541093	Willow_Whitehorse		Cottonwood_WWH_2020	77	-118.03487	42.19445999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
LTR_IPL_2016_002	Independence	Independence_Lake	2016	1376455	Tahoe		Independence_Lake_2016	78	-120.3139892	39.43806288	YES	Independence Lake	0.000000754	0.000000669	-0.093482186	0.0000218	0.0000224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170034CAR	Carson	EF_Carson_Golden_Canyon	2017	2409767	Carson		EF_Carson_Golden_Canyon_2017	79	-119.82462	38.99074	YES	East Fork Carson & Golden Canyon	0.000000724	0.000000577	-0.1531849	0.0000174	0.0000192	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
22AN024	Quinn	Andorno	2022	1572747	Quinn_Reese		Andorno_2022	80	-117.7286382	41.43982988	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170065CAR	Carson	Murray	2017	3502571	Carson		Murray_2017	81	-119.7140794	38.48469886	YES	Murray Canyon	0.000000745	0.00000057	-0.150383004	0.00002	0.0000189	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
BDSK_013	Walker	By-Day	2015	2087989	Walker		By-Day_2015	82	-119.3509716	38.26878397	YES	By-Day	0.000000865	0.000000695	-0.080643106	0.0000383	0.0000241	19	17.6	20.9	2690	1624	2009	yes
Y170007TKR	Tahoe	Up_Truckee	2017	1939476	Tahoe		Up_Truckee_2017	83	-120.029072	38.863631	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
UPT_MEI_2017_052	Tahoe	Meiss	2017	1930539	Tahoe		Meiss_2017	84	-120.33631	38.63824	YES	Meiss Meadows	0.000000807	0.00000073	-0.049809184	0.000026	0.0000247	26.5	25.5	28.7	8333	5534	2009	yes
22WB014	Quinn	Washburn	2022	193876	Quinn_Reese		Washburn_2022	85	-118.0489225	41.86464695	YES	Washburn	0.000000581	0.000000505	-0.061799336	0.0000241	0.0000177	14.8	12.8	15.9	843	157	1997	yes
MAR_WIC_2017_004	Humboldt/Upper	Wildcat	2017	3009238	Humboldt	Upper	Wildcat_2017	86	-115.2425249	41.62573785	YES	Wildcat	0.000000696	0.000000596	-0.114832792	0.0000172	0.0000192	42.7	40.8	44.6	1130	674	2000	yes
LHU_INC_2016_002	Humboldt/Little	Indian	2016	632287	Humboldt	Little	Indian_2016	87	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
STE_MSQ_2000_009	Alvord_Lake_OOB	Mosquito	2000	1083243	Willow_Whitehorse		Mosquito_2000	88	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
pure22	Independence	Independence_Lake	2020	252006	Tahoe		Independence_Lake_2020	89	-120.3139892	39.43806288	YES	Independence Lake	0.000000754	0.000000669	-0.093482186	0.0000218	0.0000224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-853	Willow_Whitehorse	Little_Whitehorse	2020	442899	Willow_Whitehorse		Little_Whitehorse_2020	90	-118.19612	42.21036999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y170044MOK	NF_Mokelumne_R_OOB	NF_Milk_Ranch	2017	1982519	Carson		NF_Milk_Ranch_2017	91	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
Pike15	Alvord_Lake_OOB	Pike	2021	126786	Willow_Whitehorse		Pike_2021	92	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
MAR_MAR_2017_172	Humboldt/Upper	Marys_Mainstem	2017	494206	Humboldt	Upper	Marys_Mainstem_2017	93	-115.375783	41.608482	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-965	Willow_Whitehorse	Whitehorse	2020	2405459	Willow_Whitehorse		Whitehorse_2020	94	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
MAG_BEA_2015_067	Humboldt/Upper	Beaver	2015	1139966	Humboldt	Upper	Beaver_2015	95	-116.2277531	41.09815316	YES	Beaver	0.000000635	0.000000532	-0.131085347	0.0000176	0.000018	1.8	1.2	2.7	7626	4509	2009	yes
3103-863	Willow_Whitehorse	Little_Whitehorse	2020	560116	Willow_Whitehorse		Little_Whitehorse_2020	96	-118.19612	42.21036999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y160021TKR	Pyramid_Truckee	Pole	2016	1625022	Tahoe		Pole_2016	97	-120.2453876	39.23273605	YES	Pole	0.000000858	0.000000744	-0.091080739	0.0000281	0.0000247	3.1	2.2	4	852	474	2010	yes
DV13	Pyramid_Truckee	Dog_Valley	2018	3413866	Tahoe		Dog_Valley_2018	98	-120.044392	39.560763	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-710	Willow_Whitehorse	Willow	2020	2626425	Willow_Whitehorse		Willow_2020	99	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
QUI_WAC_2016_005	Quinn	Washburn	2016	944308	Quinn_Reese		Washburn_2016	100	-118.0489225	41.86464695	YES	Washburn	0.000000581	0.000000505	-0.061799336	0.0000241	0.0000177	14.8	12.8	15.9	843	157	1997	yes
3103-884	Willow_Whitehorse	Cottonwood_WWH	2020	2107961	Willow_Whitehorse		Cottonwood_WWH_2020	101	-118.03487	42.19445999	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y1800024SJR	San_Joaquin_R_OOB	WF_Portuguese	2020	1369546	Tahoe		WF_Portuguese_2020	102	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
Y180028	Kings_R_OOB	WF_Cow	2018	1424008	Tahoe		WF_Cow_2018	103	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
MILL_002	Walker	Mill	2015	5549054	Walker		Mill_2015	104	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-747	Willow_Whitehorse	Willow	2020	1364827	Willow_Whitehorse		Willow_2020	105	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MAG_LJK_2009_038	Humboldt/Upper	Little_Jack	2009	982952	Humboldt	Upper	Little_Jack_2009	106	-116.266524	40.975535	YES	Little Jack	0.000000863	0.000000779	-0.069442249	0.0000316	0.0000264	5.1	3.9	6.4	359	258	2009	yes
Y1800016SJR	San_Joaquin_R_OOB	WF_Portuguese	2020	1936142	Tahoe		WF_Portuguese_2020	107	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
22LC037	Quinn	Line	2022	981589	Quinn_Reese		Line_2022	108	-118.152814	41.984641	YES	Line Canyon	0.00000055	0.000000454	-0.165986175	0.0000137	0.0000154	21.1	20.4	23.4	988	76	2000	yes
