sample	basin	creek	year	reads	watershed	subbasin	creek_year	sampnum	long	lat	in_will	will_name	will_ho	will_pi	will_fis	ws_will	ts_will	PVA_Extinction	PVA_Ext_L95	PVA_Ext_U95	PVA_Abundance_50	PVA_Abundance_25	PVA_Abund_Year	in_basin
Y1800011SJR	San_Joaquin_R_OOB	WF_Portuguese	2020	1753608	Tahoe		WF_Portuguese_2020	1985	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
Y200084WKR	Walker	Mill	2020	5034412	Walker		Mill_2020	1986	-119.4925346	38.44380796	YES	Mill	0.000000982	0.000000725	-0.1725841	0.0000253	0.0000221	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Mosq21	Alvord_Lake_OOB	Mosquito	2021	172129	Willow_Whitehorse		Mosquito_2021	1987	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A
NFH_GAN_2000_105	Humboldt/NF	Gance	2000	111610	Humboldt	North_Fork	Gance_2000	1988	-115.9682753	41.30762374	YES	Gance	0.000000756	0.000000657	-0.087485587	0.0000209	0.0000223	2.6	2.1	3.5	2791	1428	2007	yes
SFH_DIX_2014_001	Humboldt/SF	Dixie	2011	849704	Humboldt	South_Fork	Dixie_2011	1989	-115.9370933	40.44469939	YES	Dixie	0.000000822	0.00000062	-0.330867434	0.0000181	0.0000204	33.7	30.6	35.2	625	277	2011	yes
3103-738	Willow_Whitehorse	Willow	2020	1430984	Willow_Whitehorse		Willow_2020	1990	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
MRPH_012	Walker	Murphy	2011	2741520	Walker		Murphy_2011	1991	-119.2692472	38.38015418	YES	Murphy	0.000000803	0.000000603	-0.218381179	0.0000218	0.0000204	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-752	Willow_Whitehorse	Willow	2020	2983110	Willow_Whitehorse		Willow_2020	1992	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
pure09	Independence	Independence_Lake	2020	4023805	Tahoe		Independence_Lake_2020	1993	-120.3139892	39.43806288	YES	Independence Lake	0.000000754	0.000000669	-0.093482186	0.0000218	0.0000224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
SFH_2BO_2016_013	Humboldt/Upper	Second_Boulder	2016	854043	Humboldt	Upper	Second_Boulder_2016	1994	-115.1346326	40.90198481	YES	2nd Boulder	0.0000008	0.000000629	-0.143491548	0.0000223	0.0000207	21.8	19.7	26.2	23	5	2013	yes
Y160068CAR	Independence	Heenan_Lake	2010	4206230	Tahoe		Heenan_Lake_2010	1995	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
QUI_LON_2011_229	Humboldt/Little	Long_Canyon	2011	111304	Humboldt	Little	Long_Canyon_2011	1996	-117.4625913	41.8307616	YES	Long Canyon	0.000000945	0.00000114	0.120982281	0.000049	0.0000411	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200125WKR	Walker	Silver	2020	2102016	Walker		Silver_2020	1997	-119.5749218	38.38654264	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y180039	Kings_R_OOB	WF_Cow	2018	2374583	Tahoe		WF_Cow_2018	1998	#N/A	#N/A	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	no
Y160023CAR	Independence	Heenan_Lake	2010	629251	Tahoe		Heenan_Lake_2010	1999	-119.637348	38.653153	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
CAR_POI_2017_080	Carson	Poison_Flat	2017	764090	Carson		Poison_Flat_2017	2000	-119.6450227	38.49490749	YES	Poison Flat	0.000000809	0.000000698	-0.082770633	0.0000287	0.000024	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
SLNK_014	Walker	Slinkard	2015	6559798	Walker		Slinkard_2015	2001	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200023WKR	Walker	Slinkard	2020	2408916	Walker		Slinkard_2020	2002	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
UWLF_007	Walker	Wolf	2015	5816829	Walker		Wolf_2015	2003	-119.5910264	38.35848746	YES	Upper Wolf & Lower Wolf	0.00000175	0.00000143	-0.217860379	0.0000414	0.0000436	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
Y200013WKR	Walker	Slinkard	2020	980518	Walker		Slinkard_2020	2004	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-944	Willow_Whitehorse	Whitehorse	2020	2171299	Willow_Whitehorse		Whitehorse_2020	2005	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
NFH_GAN_2017_008	Humboldt/NF	Gance	2017	3059521	Humboldt	North_Fork	Gance_2017	2006	-115.9682753	41.30762374	YES	Gance	0.000000756	0.000000657	-0.087485587	0.0000209	0.0000223	2.6	2.1	3.5	2791	1428	2007	yes
3103-697	Willow_Whitehorse	Willow	2020	8801781	Willow_Whitehorse		Willow_2020	2007	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
UPT_MEI_2017_008	Tahoe	Meiss	2017	767516	Tahoe		Meiss_2017	2008	-120.33631	38.63824	YES	Meiss Meadows	0.000000807	0.00000073	-0.049809184	0.000026	0.0000247	26.5	25.5	28.7	8333	5534	2009	yes
3103-665	Willow_Whitehorse	Willow	2020	7677086	Willow_Whitehorse		Willow_2020	2009	-118.22615	42.67766237	NO	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
ROC_FRZ_2017_008	Humboldt/Rock	Frazer	2017	712452	Humboldt	Rock	Frazer_2017	2010	-116.7432811	41.29430774	YES	Frazier	0.000000743	0.000000608	-0.126518894	0.0000191	0.0000197	24.2	20.9	26.8	213	74	2015	yes
Y170100CAR	Carson	Poison_Flat	2017	2663958	Carson		Poison_Flat_2017	2011	-119.6450227	38.49490749	YES	Poison Flat	0.000000809	0.000000698	-0.082770633	0.0000287	0.000024	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-943	Willow_Whitehorse	Whitehorse	2020	317876	Willow_Whitehorse		Whitehorse_2020	2012	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
Y170085CAR	Carson	Poison_Flat	2017	2419583	Carson		Poison_Flat_2017	2013	-119.6450227	38.49490749	YES	Poison Flat	0.000000809	0.000000698	-0.082770633	0.0000287	0.000024	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
SLNK_006	Walker	Slinkard	2015	8688458	Walker		Slinkard_2015	2014	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-918	Willow_Whitehorse	Whitehorse	2020	144401	Willow_Whitehorse		Whitehorse_2020	2015	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
Y200017WKR	Walker	Slinkard	2020	1508480	Walker		Slinkard_2020	2016	-119.5660102	38.57074161	YES	Slinkard	0.000000955	0.000000734	-0.170717356	0.0000222	0.0000205	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
3103-549	Willow_Whitehorse	Whitehorse	2020	929290	Willow_Whitehorse		Whitehorse_2020	2017	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
NFH_GAN_2017_004	Humboldt/NF	Gance	2017	825081	Humboldt	North_Fork	Gance_2017	2018	-115.9682753	41.30762374	YES	Gance	0.000000756	0.000000657	-0.087485587	0.0000209	0.0000223	2.6	2.1	3.5	2791	1428	2007	yes
3103-805	Willow_Whitehorse	Whitehorse	2020	1112769	Willow_Whitehorse		Whitehorse_2020	2019	-118.193703	42.273727	YES	Whitehorse	0.000000484	0.000000381	-0.157358941	0.0000151	0.0000126	8.1	7.3	9.4	21251	10485	2011	yes
MRPH_009	Walker	Murphy	2011	4308214	Walker		Murphy_2011	2020	-119.2692472	38.38015418	YES	Murphy	0.000000803	0.000000603	-0.218381179	0.0000218	0.0000204	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
ROC_FRZ_2017_041	Humboldt/Rock	Frazer	2017	415321	Humboldt	Rock	Frazer_2017	2021	-116.7432811	41.29430774	YES	Frazier	0.000000743	0.000000608	-0.126518894	0.0000191	0.0000197	24.2	20.9	26.8	213	74	2015	yes
Y160007IPL	Independence	Independence_Lake	2016	1662358	Tahoe		Independence_Lake_2016	2022	-120.3139892	39.43806288	YES	Independence Lake	0.000000754	0.000000669	-0.093482186	0.0000218	0.0000224	#N/A	#N/A	#N/A	#N/A	#N/A	#N/A	yes
