sample	depth	reads	basin	subbasin	creek	year
pure16	5.89045	1277621	Independence	NA	Independence_Lake	2020
pure07	5.61738	1130693	Independence	NA	Independence_Lake	2020
pure15	5.61002	1149462	Independence	NA	Independence_Lake	2020
pure27	5.23116	994196	Independence	NA	Independence_Lake	2020
pure29	5.02069	900193	Independence	NA	Independence_Lake	2020
pure06	4.98522	869453	Independence	NA	Independence_Lake	2020
pure03	4.67399	750166	Independence	NA	Independence_Lake	2020
pure04	4.58073	711076	Independence	NA	Independence_Lake	2020
pure12	4.38294	643817	Independence	NA	Independence_Lake	2020
pure28	4.34287	630987	Independence	NA	Independence_Lake	2020
TRU_POL_2016_031	20.9764	6940439	Pyramid-Truckee	NA	Pole	2016
TRU_POL_2016_032	13.3198	3933593	Pyramid-Truckee	NA	Pole	2016
TRU_POL_2016_030	11.6999	3293280	Pyramid-Truckee	NA	Pole	2016
Y160006TKR	11.1834	4064379	Pyramid-Truckee	NA	Pole	2016
Y160028TKR	8.86611	2938248	Pyramid-Truckee	NA	Pole	2016
Y160004TKR	8.44461	2733270	Pyramid-Truckee	NA	Pole	2016
TRU_POL_2016_024	8.36924	2080173	Pyramid-Truckee	NA	Pole	2016
Y160011TKR	8.34571	2718412	Pyramid-Truckee	NA	Pole	2016
Y160037TKR	7.99811	2584328	Pyramid-Truckee	NA	Pole	2016
Y160010TKR	7.94863	2490433	Pyramid-Truckee	NA	Pole	2016
Y160031TKR	7.80076	2493458	Pyramid-Truckee	NA	Pole	2016
Y160027TKR	7.71742	2418239	Pyramid-Truckee	NA	Pole	2016
Y160014TKR	7.46838	2327926	Pyramid-Truckee	NA	Pole	2016
Y160022TKR	7.46702	2330566	Pyramid-Truckee	NA	Pole	2016
Y160005TKR	7.4552	2330348	Pyramid-Truckee	NA	Pole	2016
REE_CRA_2009_149	17.1337	5474217	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_155	13.4353	4002576	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_145	10.5715	3003912	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_135	9.82451	2721907	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_141	9.35217	2584881	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_138	9.16966	2499536	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_143	8.69048	2368001	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_153	8.49369	2302670	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_146	7.15638	1833821	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_151	6.80866	1735729	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_136	6.74713	1698838	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_148	5.90964	1430408	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_137	5.76489	1384041	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_139	5.08927	1159327	Reese	NA	Crane_Canyon	2009
REE_CRA_2009_152	4.52138	987836	Reese	NA	Crane_Canyon	2009
REE_TNY_2001_016	9.73715	2557353	Reese	NA	Tierney	2001
REE_TNY_2001_017	8.38271	2096259	Reese	NA	Tierney	2001
REE_TNY_2001_004	6.43736	1382740	Reese	NA	Tierney	2001
REE_TNY_2001_015	5.24167	1075015	Reese	NA	Tierney	2001
REE_TNY_2001_003	4.35388	759065	Reese	NA	Tierney	2001
REE_TNY_2001_001	4.07437	578658	Reese	NA	Tierney	2001
REE_TNY_2001_013	3.33321	541095	Reese	NA	Tierney	2001
REE_TNY_2001_010	3.26994	482322	Reese	NA	Tierney	2001
REE_TNY_2001_014	3.13051	473906	Reese	NA	Tierney	2001
REE_TNY_2001_002	3.11964	433648	Reese	NA	Tierney	2001
REE_TNY_2001_009	3.03344	402693	Reese	NA	Tierney	2001
REE_TNY_2001_006	2.9482	384351	Reese	NA	Tierney	2001
REE_TNY_2001_008	2.92103	379657	Reese	NA	Tierney	2001
REE_TNY_2001_011	2.85814	297479	Reese	NA	Tierney	2001
REE_TNY_2001_012	2.76037	322264	Reese	NA	Tierney	2001
SUM_MOH_2013_207	19.5732	6811542	Summit	NA	Mahogany	2013
SUM_MOH_2013_166	14.6598	4815197	Summit	NA	Mahogany	2013
SUM_MOH_2013_208	12.1198	3583232	Summit	NA	Mahogany	2013
SUM_MOH_2013_212	12.0409	3629576	Summit	NA	Mahogany	2013
SUM_MOH_2013_210	9.08733	2560500	Summit	NA	Mahogany	2013
SUM_MOH_2013_173	7.92375	2112416	Summit	NA	Mahogany	2013
SUM_MOH_2013_168	6.67044	1701934	Summit	NA	Mahogany	2013
SUM_MOH_2013_211	6.56755	1627054	Summit	NA	Mahogany	2013
SUM_MOH_2013_205	6.49697	1654946	Summit	NA	Mahogany	2013
SUM_MOH_2013_213	5.1478	1129474	Summit	NA	Mahogany	2013
SUM_MOH_2013_167	4.39431	839568	Summit	NA	Mahogany	2013
SUM_MOH_2013_219	4.2007	733274	Summit	NA	Mahogany	2013
SUM_MOH_2013_217	3.70253	536526	Summit	NA	Mahogany	2013
SUM_MOH_2013_209	3.39612	343362	Summit	NA	Mahogany	2013
SUM_MOH_2013_206	3.18072	418589	Summit	NA	Mahogany	2013
UPT_MEI_2017_059	12.0504	3568661	Tahoe	NA	Meiss	2017
UPT_MEI_2017_016	10.8261	3127904	Tahoe	NA	Meiss	2017
UPT_MEI_2017_050	9.52083	2573030	Tahoe	NA	Meiss	2017
UPT_MEI_2017_005	9.3235	2549315	Tahoe	NA	Meiss	2017
UPT_MEI_2017_052	7.50504	1930539	Tahoe	NA	Meiss	2017
UPT_MEI_2017_019	7.33355	1869593	Tahoe	NA	Meiss	2017
UPT_MEI_2017_003	6.76436	1657021	Tahoe	NA	Meiss	2017
UPT_MEI_2017_039	6.69014	1630594	Tahoe	NA	Meiss	2017
UPT_MEI_2017_043	6.54851	1593447	Tahoe	NA	Meiss	2017
UPT_MEI_2017_001	6.115	1422597	Tahoe	NA	Meiss	2017
UPT_MEI_2017_012	5.92152	1399061	Tahoe	NA	Meiss	2017
UPT_MEI_2017_027	5.55164	1247814	Tahoe	NA	Meiss	2017
UPT_MEI_2017_009	4.77861	1016989	Tahoe	NA	Meiss	2017
UPT_MEI_2017_024	4.69986	990962	Tahoe	NA	Meiss	2017
UPT_MEI_2017_055	4.60781	985565	Tahoe	NA	Meiss	2017
Y170004TKR	8.8423	3014236	Tahoe	NA	Upper_Truckee	2017
Y170001TKR	8.78995	2970668	Tahoe	NA	Upper_Truckee	2017
Y170008TKR	7.74076	2471865	Tahoe	NA	Upper_Truckee	2017
Y170002TKR	7.60802	2446313	Tahoe	NA	Upper_Truckee	2017
Y170018TKR	7.57773	2441370	Tahoe	NA	Upper_Truckee	2017
Y170017TKR	7.5232	2371293	Tahoe	NA	Upper_Truckee	2017
Y170015TKR	7.4534	2337686	Tahoe	NA	Upper_Truckee	2017
Y170010TKR	7.33537	2307021	Tahoe	NA	Upper_Truckee	2017
Y170003TKR	6.61058	2040785	Tahoe	NA	Upper_Truckee	2017
Y170007TKR	6.55105	1939476	Tahoe	NA	Upper_Truckee	2017
Y170011TKR	6.40152	1917570	Tahoe	NA	Upper_Truckee	2017
Y170016TKR	6.36977	1873676	Tahoe	NA	Upper_Truckee	2017
Y170009TKR	6.23049	1820561	Tahoe	NA	Upper_Truckee	2017
Y170005TKR	6.17333	1817478	Tahoe	NA	Upper_Truckee	2017
Y170019TKR	6.07284	1781230	Tahoe	NA	Upper_Truckee	2017
Y200101WKR	17.5503	8053818	Walker	NA	By-Day	2020
Y200103WKR	14.8549	6665073	Walker	NA	By-Day	2020
Y200114WKR	13.8429	6236612	Walker	NA	By-Day	2020
Y200107WKR	13.0311	5645547	Walker	NA	By-Day	2020
Y200104WKR	12.4945	4948135	Walker	NA	By-Day	2020
Y200105WKR	11.4907	4707447	Walker	NA	By-Day	2020
Y200115WKR	10.8745	4175159	Walker	NA	By-Day	2020
Y200094WKR	10.5087	5619120	Walker	NA	By-Day	2020
Y200097WKR	10.4692	4108989	Walker	NA	By-Day	2020
Y200110WKR	10.0172	3919804	Walker	NA	By-Day	2020
Y200118WKR	9.62386	3840411	Walker	NA	By-Day	2020
Y200111WKR	9.61395	3698040	Walker	NA	By-Day	2020
Y200098WKR	9.30401	3595253	Walker	NA	By-Day	2020
Y200091WKR	9.13544	4654101	Walker	NA	By-Day	2020
Y200099WKR	9.04811	3480376	Walker	NA	By-Day	2020
Y200072WKR	13.754	8110593	Walker	NA	Mill	2020
Y200089WKR	9.93689	5185290	Walker	NA	Mill	2020
Y200084WKR	9.51839	5034412	Walker	NA	Mill	2020
Y200071WKR	9.49959	4896557	Walker	NA	Mill	2020
Y200079WKR	9.18568	4775943	Walker	NA	Mill	2020
Y200087WKR	9.13555	4647795	Walker	NA	Mill	2020
Y200082WKR	8.03197	4143921	Walker	NA	Mill	2020
Y200064WKR	7.84082	3920627	Walker	NA	Mill	2020
Y200078WKR	7.55459	3533367	Walker	NA	Mill	2020
Y200074WKR	7.45891	3657821	Walker	NA	Mill	2020
Y200070WKR	7.25884	3485711	Walker	NA	Mill	2020
Y200090WKR	7.11324	3456457	Walker	NA	Mill	2020
Y200080WKR	7.09687	3375218	Walker	NA	Mill	2020
Y200083WKR	7.08461	3404514	Walker	NA	Mill	2020
Y200076WKR	6.80956	3203005	Walker	NA	Mill	2020
Y210015WKR	11.4347	4516503	Walker	NA	Murphy	2021
Y210012WKR	10.6441	4426875	Walker	NA	Murphy	2021
Y210029WKR	9.26777	3687334	Walker	NA	Murphy	2021
Y210018WKR	9.00106	3501835	Walker	NA	Murphy	2021
Y210030WKR	8.97292	3226073	Walker	NA	Murphy	2021
Y210016WKR	8.75368	3253889	Walker	NA	Murphy	2021
Y210031WKR	8.6658	3184974	Walker	NA	Murphy	2021
Y210007WKR	8.6563	3242660	Walker	NA	Murphy	2021
Y210014WKR	8.3843	3104488	Walker	NA	Murphy	2021
Y210023WKR	8.12496	3065219	Walker	NA	Murphy	2021
Y210001WKR	7.9481	2962694	Walker	NA	Murphy	2021
Y210009WKR	7.81962	2755754	Walker	NA	Murphy	2021
Y210024WKR	7.69699	2772400	Walker	NA	Murphy	2021
Y210006WKR	7.58645	2419077	Walker	NA	Murphy	2021
Y210028WKR	7.5617	2633745	Walker	NA	Murphy	2021
Y200128WKR	11.0957	4446895	Walker	NA	Silver	2020
Y200121WKR	10.9072	4319840	Walker	NA	Silver	2020
Y200122WKR	10.7284	4558109	Walker	NA	Silver	2020
Y200136WKR	10.7079	4342649	Walker	NA	Silver	2020
Y200123WKR	10.265	4149664	Walker	NA	Silver	2020
Y200130WKR	9.64462	3763080	Walker	NA	Silver	2020
Y200129WKR	9.33108	3650496	Walker	NA	Silver	2020
Y200131WKR	8.48408	3151059	Walker	NA	Silver	2020
Y200132WKR	8.47999	3055861	Walker	NA	Silver	2020
Y200135WKR	8.18237	2945055	Walker	NA	Silver	2020
Y200124WKR	8.14968	3056228	Walker	NA	Silver	2020
Y200127WKR	7.80698	2739727	Walker	NA	Silver	2020
Y200140WKR	7.4473	2679472	Walker	NA	Silver	2020
Y200133WKR	6.71449	2298837	Walker	NA	Silver	2020
Y200125WKR	6.28157	2102016	Walker	NA	Silver	2020
Y200008WKR	10.0007	5210991	Walker	NA	Slinkard	2020
Y200019WKR	9.14687	4780652	Walker	NA	Slinkard	2020
Y200009WKR	8.98683	4544352	Walker	NA	Slinkard	2020
Y200002WKR	8.91528	4553962	Walker	NA	Slinkard	2020
Y200007WKR	8.41197	4174883	Walker	NA	Slinkard	2020
Y200001WKR	8.13749	3909652	Walker	NA	Slinkard	2020
Y200004WKR	7.42854	3551502	Walker	NA	Slinkard	2020
Y200011WKR	7.27867	3437702	Walker	NA	Slinkard	2020
Y200003WKR	6.9516	3201348	Walker	NA	Slinkard	2020
Y200020WKR	6.11128	2668891	Walker	NA	Slinkard	2020
Y200005WKR	5.97216	2568432	Walker	NA	Slinkard	2020
Y200023WKR	5.81399	2408916	Walker	NA	Slinkard	2020
Y200021WKR	5.79738	2464908	Walker	NA	Slinkard	2020
Y200010WKR	5.64644	2373328	Walker	NA	Slinkard	2020
Y200015WKR	5.57568	2290913	Walker	NA	Slinkard	2020
Y200034WKR	13.5293	7786543	Walker	NA	Wolf	2020
Y200036WKR	11.6063	6655327	Walker	NA	Wolf	2020
Y200048WKR	10.2311	5339890	Walker	NA	Wolf	2020
Y200032WKR	9.93344	5399265	Walker	NA	Wolf	2020
Y200040WKR	9.36841	4895375	Walker	NA	Wolf	2020
Y200056WKR	8.40072	4144884	Walker	NA	Wolf	2020
Y200046WKR	8.25863	4129487	Walker	NA	Wolf	2020
Y200050WKR	8.16486	4033391	Walker	NA	Wolf	2020
Y200031WKR	7.96136	3996379	Walker	NA	Wolf	2020
Y200049WKR	7.65288	3582716	Walker	NA	Wolf	2020
Y200039WKR	7.51944	3707727	Walker	NA	Wolf	2020
Y200037WKR	7.44566	3610567	Walker	NA	Wolf	2020
Y200033WKR	6.87901	3310769	Walker	NA	Wolf	2020
Y200051WKR	6.00641	2630432	Walker	NA	Wolf	2020
Y200035WKR	5.88907	2519884	Walker	NA	Wolf	2020
3103-888	14.9202	8830484	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-880	12.6757	6875863	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-879	11.0374	5755108	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-874	10.2482	5444805	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-883	10.0998	5247151	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-870	9.64623	5141461	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-872	9.60708	5093006	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-871	9.57186	5099547	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-877	8.89646	4541093	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-886	8.45936	4247410	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-876	8.38118	4105478	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-878	8.29908	4021907	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-873	8.2477	4034046	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-885	7.95541	4028426	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-881	7.89498	3822056	Willow-Whitehorse	NA	Cottonwood_WWH	2020
3103-576	13.9285	6167188	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-570	10.1539	4518879	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-574	8.40556	3643912	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-571	7.30489	2649031	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-573	7.17966	2492418	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-610	6.76203	3792868	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-615	6.43431	3533349	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-593	6.31243	3508640	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-614	6.27088	3301368	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-601	6.15921	3380385	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-595	6.02832	3231020	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-609	5.80911	3052214	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-959	5.59867	1375432	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-580	5.59307	2806959	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-594	5.49082	2816630	Willow-Whitehorse	NA	Little_Whitehorse	2020
3103-983	11.7117	6243752	Willow-Whitehorse	NA	Whitehorse	2020
3103-984	11.4301	6170781	Willow-Whitehorse	NA	Whitehorse	2020
3103-976	11.0195	5760212	Willow-Whitehorse	NA	Whitehorse	2020
3103-975	9.06841	4596933	Willow-Whitehorse	NA	Whitehorse	2020
3103-937	8.19293	2655997	Willow-Whitehorse	NA	Whitehorse	2020
3103-950	7.47108	2528105	Willow-Whitehorse	NA	Whitehorse	2020
3103-944	7.39158	2171299	Willow-Whitehorse	NA	Whitehorse	2020
3103-973	7.24844	3382332	Willow-Whitehorse	NA	Whitehorse	2020
3103-948	6.98984	2061689	Willow-Whitehorse	NA	Whitehorse	2020
3103-946	6.97356	1990242	Willow-Whitehorse	NA	Whitehorse	2020
3103-947	6.94455	2056917	Willow-Whitehorse	NA	Whitehorse	2020
3103-622	6.81162	3482632	Willow-Whitehorse	NA	Whitehorse	2020
3103-618	6.70308	3720507	Willow-Whitehorse	NA	Whitehorse	2020
3103-913	6.6462	2003277	Willow-Whitehorse	NA	Whitehorse	2020
3103-938	6.62265	1835586	Willow-Whitehorse	NA	Whitehorse	2020
3103-657	27.1618	15206604	Willow-Whitehorse	NA	Willow	2020
3103-659	26.2005	12816705	Willow-Whitehorse	NA	Willow	2020
3103-651	22.9432	12070438	Willow-Whitehorse	NA	Willow	2020
3103-661	21.849	11014247	Willow-Whitehorse	NA	Willow	2020
3103-662	20.2421	9967820	Willow-Whitehorse	NA	Willow	2020
3103-629	20.1548	10213374	Willow-Whitehorse	NA	Willow	2020
3103-645	20.1098	9853633	Willow-Whitehorse	NA	Willow	2020
3103-652	19.7898	9082532	Willow-Whitehorse	NA	Willow	2020
3103-658	19.3627	9714683	Willow-Whitehorse	NA	Willow	2020
3103-628	19.0409	9278336	Willow-Whitehorse	NA	Willow	2020
3103-690	18.6233	9228107	Willow-Whitehorse	NA	Willow	2020
3103-644	18.4858	9293982	Willow-Whitehorse	NA	Willow	2020
3103-667	18.4189	8992501	Willow-Whitehorse	NA	Willow	2020
3103-697	18.4093	8801781	Willow-Whitehorse	NA	Willow	2020
3103-666	18.4078	8305877	Willow-Whitehorse	NA	Willow	2020
